0.00,0,1.00,0,1.00,0,1.00,0,0,0,0
0.09,0,1.00,0,1.00,0,1.00,0,0,0,0
0.10,0,1.00,0,1.00,0,1.00,0,0,0,0
0.12,0,1.00,0,1.00,0,1.00,0,0,0,0
0.14,0,1.00,0,1.00,0,1.00,0,0,0,0
0.15,0,1.00,0,1.00,0,1.00,0,0,0,0
0.15,0,1.00,0,1.00,0,1.00,0,0,0,0
0.16,0,1.00,0,1.00,0,1.00,0,0,0,0
0.20,0,1.00,0,1.00,0,1.00,0,0,0,0
0.26,0,1.00,0,1.00,0,1.00,0,0,0,0
0.37,0,1.00,0,1.00,0,1.00,0,0,0,0
0.51,0,1.00,0,1.00,0,1.00,0,0,0,0
0.95,0,1.00,0,1.00,0,1.00,0,0,0,0
1.26,0,1.00,0,1.00,0,1.00,0,0,0,0
1.98,0,1.00,0,1.00,0,1.00,0,0,0,0
3.22,0,1.00,0,1.00,0,1.00,0,0,0,0
3.60,0,1.00,0,1.00,0,1.00,0,0,0,0
4.03,0,1.00,0,1.00,0,1.00,0,0,0,0
4.51,0,1.00,0,1.00,0,1.00,0,0,0,0
4.92,0,1.00,0,1.00,0,1.00,0,0,0,0
5.28,0,1.00,0,1.00,0,1.00,0,0,0,0
5.79,0,1.00,0,1.00,0,1.00,0,0,0,0
6.17,0,1.00,0,1.00,0,1.00,0,0,0,0
6.61,0,1.00,0,1.00,0,1.00,0,0,0,0
7.49,0,1.00,0,1.00,0,1.00,0,0,0,0
8.04,0,1.00,0,1.00,0,1.00,0,0,0,0
8.59,0,1.00,0,1.00,0,1.00,0,0,0,0
8.86,0,1.00,0,1.00,0,1.00,0,0,0,0
9.48,0,1.00,0,1.00,0,1.00,0,0,0,0
9.96,0,1.00,0,1.00,0,1.00,0,0,0,0
10.40,0,1.00,0,1.00,0,1.00,0,0,0,0
10.87,0,1.00,0,1.00,0,1.00,0,0,0,0
11.13,0,1.00,0,1.00,0,1.00,0,0,0,0
11.61,0,1.00,0,1.00,0,1.00,0,0,0,0
12.10,0,1.00,0,1.00,0,1.00,0,0,0,0
12.41,0,1.00,0,1.00,0,1.00,0,0,0,0
13.05,0,1.00,0,1.00,0,1.00,0,0,0,0
13.60,0,1.00,0,1.00,0,1.00,0,0,0,0
14.19,0,1.00,0,1.00,0,1.00,0,0,0,0
14.80,0,1.00,0,1.00,0,1.00,0,0,0,0
15.31,0,1.00,0,1.00,0,1.00,0,0,0,0
15.97,0,1.00,0,1.00,0,1.00,0,0,0,0
16.57,0,1.00,0,1.00,0,1.00,0,0,0,0
17.75,0,1.00,0,1.00,0,1.00,0,0,0,0
18.80,0,1.00,0,1.00,0,1.00,0,0,0,0
19.71,0,1.00,0,1.00,0,1.00,0,0,0,0
20.30,0,1.00,0,1.00,0,1.00,0,0,0,0
20.92,0,1.00,0,1.00,0,1.00,0,0,0,0
21.62,0,1.00,0,1.00,0,1.00,0,0,0,0
22.25,0,1.00,0,1.00,0,1.00,0,0,0,0
22.83,0,1.00,0,1.00,0,1.00,0,0,0,0
23.34,0,1.00,0,1.00,0,1.00,0,0,0,0
23.85,0,1.00,0,1.00,0,1.00,0,0,0,0
24.37,0,1.00,0,1.00,0,1.00,0,0,0,0
24.63,0,1.00,0,1.00,0,1.00,0,0,0,0
25.15,0,1.00,0,1.00,0,1.00,0,0,0,0
25.76,0,1.00,0,1.00,0,1.00,0,0,0,0
26.24,0,1.00,0,1.00,0,1.00,0,0,0,0
26.70,0,1.00,0,1.00,0,1.00,0,0,0,0
27.18,0,1.00,0,1.00,0,1.00,0,0,0,0
27.66,0,1.00,0,1.00,0,1.00,0,0,0,0
28.40,0,1.00,0,1.00,0,1.00,0,0,0,0
28.94,0,1.00,0,1.00,0,1.00,0,0,0,0
29.44,0,1.00,0,1.00,0,1.00,0,0,0,0
29.95,0,1.00,0,1.00,0,1.00,0,0,0,0
30.40,0,1.00,0,1.00,0,1.00,0,0,0,0
30.86,0,1.00,0,1.00,0,1.00,0,0,0,0
31.30,0,1.00,0,1.00,0,1.00,0,0,0,0
31.77,0,1.00,0,1.00,0,1.00,0,0,0,0
32.25,0,1.00,0,1.00,0,1.00,0,0,0,0
32.77,0,1.00,0,1.00,0,1.00,0,0,0,0
33.35,0,1.00,0,1.00,0,1.00,0,0,0,0
33.84,0,1.00,0,1.00,0,1.00,0,0,0,0
34.41,0,1.00,0,1.00,0,1.00,0,0,0,0
34.94,0,1.00,0,1.00,0,1.00,0,0,0,0
35.44,0,1.00,0,1.00,0,1.00,0,0,0,0
36.15,0,1.00,0,1.00,0,1.00,0,0,0,0
36.66,0,1.00,0,1.00,0,1.00,0,0,0,0
37.11,0,1.00,0,1.00,0,1.00,0,0,0,0
37.60,0,1.00,0,1.00,0,1.00,0,0,0,0
38.09,0,1.00,0,1.00,0,1.00,0,0,0,0
38.38,0,1.00,0,1.00,0,1.00,0,0,0,0
38.67,0,1.00,0,1.00,0,1.00,0,0,0,0
39.21,0,1.00,0,1.00,0,1.00,0,0,0,0
39.75,0,1.00,0,1.00,0,1.00,0,0,0,0
40.67,0,1.00,0,1.00,0,1.00,0,0,0,0
41.25,0,1.00,0,1.00,0,1.00,0,0,0,0
41.78,0,1.00,0,1.00,0,1.00,0,0,0,0
42.74,0,1.00,0,1.00,0,1.00,0,0,0,0
44.03,0,1.00,0,1.00,0,1.00,0,0,0,0
44.70,0,1.00,0,1.00,0,1.00,0,0,0,0
45.29,0,1.00,0,1.00,0,1.00,0,0,0,0
45.88,0,1.00,0,1.00,0,1.00,0,0,0,0
46.48,0,1.00,0,1.00,0,1.00,0,0,0,0
47.06,0,1.00,0,1.00,0,1.00,0,0,0,0
47.68,0,1.00,0,1.00,0,1.00,0,0,0,0
47.99,0,1.00,0,1.00,0,1.00,0,0,0,0
48.55,0,1.00,0,1.00,0,1.00,0,0,0,0
49.16,0,1.00,0,1.00,0,1.00,0,0,0,0
49.78,0,1.00,0,1.00,0,1.00,0,0,0,0
50.30,0,1.00,0,1.00,0,1.00,0,0,0,0
50.79,0,1.00,0,1.00,0,1.00,0,0,0,0
51.25,0,1.00,0,1.00,0,1.00,0,0,0,0
51.50,0,1.00,0,1.00,0,1.00,0,0,0,0
52.01,0,1.00,0,1.00,0,1.00,0,0,0,0
52.25,0,1.00,0,1.00,0,1.00,0,0,0,0
52.77,0,1.00,0,1.00,0,1.00,0,0,0,0
53.26,0,1.00,0,1.00,0,1.00,0,0,0,0
53.72,0,1.00,0,1.00,0,1.00,0,0,0,0
53.96,0,1.00,0,1.00,0,1.00,0,0,0,0
54.43,0,1.00,0,1.00,0,1.00,0,0,0,0
54.91,0,1.00,0,1.00,0,1.00,0,0,0,0
55.43,0,1.00,0,1.00,0,1.00,0,0,0,0
55.88,0,1.00,0,1.00,0,1.00,0,0,0,0
56.36,0,1.00,0,1.00,0,1.00,0,0,0,0
56.83,0,1.00,0,1.00,0,1.00,0,0,0,0
57.13,0,1.00,0,1.00,0,1.00,0,0,0,0
57.65,0,1.00,0,1.00,0,1.00,0,0,0,0
58.23,0,1.00,0,1.00,0,1.00,0,0,0,0
58.48,0,1.00,0,1.00,0,1.00,0,0,0,0
59.06,0,1.00,0,1.00,0,1.00,0,0,0,0
59.57,0,1.00,0,1.00,0,1.00,0,0,0,0
59.85,0,1.00,0,1.00,0,1.00,0,0,0,0
60.42,0,1.00,0,1.00,0,1.00,0,0,0,0
60.93,0,1.00,0,1.00,0,1.00,0,0,0,0
61.43,0,1.00,0,1.00,0,1.00,0,0,0,0
61.91,0,1.00,0,1.00,0,1.00,0,0,0,0
62.33,0,1.00,0,1.00,0,1.00,0,0,0,0
62.58,0,1.00,0,1.00,0,1.00,0,0,0,0
63.04,0,1.00,0,1.00,0,1.00,0,0,0,0
63.73,0,1.00,0,1.00,0,1.00,0,0,0,0
64.29,0,1.00,0,1.00,0,1.00,0,0,0,0
65.06,0,1.00,0,1.00,0,1.00,0,0,0,0
65.99,0,1.00,0,1.00,0,1.00,0,0,0,0
66.75,0,1.00,0,1.00,0,1.00,0,0,0,0
67.32,0,1.00,0,1.00,0,1.00,0,0,0,0
67.93,0,1.00,0,1.00,0,1.00,0,0,0,0
68.23,0,1.00,0,1.00,0,1.00,0,0,0,0
68.95,0,1.00,0,1.00,0,1.00,0,0,0,0
69.43,0,1.00,0,1.00,0,1.00,0,0,0,0
69.67,0,1.00,0,1.00,0,1.00,0,0,0,0
70.40,0,1.00,0,1.00,0,1.00,0,0,0,0
70.89,0,1.00,0,1.00,0,1.00,0,0,0,0
71.16,0,1.00,0,1.00,0,1.00,0,0,0,0
71.64,0,1.00,0,1.00,0,1.00,0,0,0,0
72.24,0,1.00,0,1.00,0,1.00,0,0,0,0
72.50,0,1.00,0,1.00,0,1.00,0,0,0,0
72.96,0,1.00,0,1.00,0,1.00,0,0,0,0
73.42,0,1.00,0,1.00,0,1.00,0,0,0,0
74.00,0,1.00,0,1.00,0,1.00,0,0,0,0
74.44,0,1.00,0,1.00,0,1.00,0,0,0,0
74.90,0,1.00,0,1.00,0,1.00,0,0,0,0
75.40,0,1.00,0,1.00,0,1.00,0,0,0,0
75.64,0,1.00,0,1.00,0,1.00,0,0,0,0
76.15,0,1.00,0,1.00,0,1.00,0,0,0,0
76.65,0,1.00,0,1.00,0,1.00,0,0,0,0
77.22,0,1.00,0,1.00,0,1.00,0,0,0,0
77.85,0,1.00,0,1.00,0,1.00,0,0,0,0
78.15,0,1.00,0,1.00,0,1.00,0,0,0,0
78.74,0,1.00,0,1.00,0,1.00,0,0,0,0
79.05,0,1.00,0,1.00,0,1.00,0,0,0,0
79.64,0,1.00,0,1.00,0,1.00,0,0,0,0
79.96,0,1.00,0,1.00,0,1.00,0,0,0,0
80.29,0,1.00,0,1.00,0,1.00,0,0,0,0
80.95,0,1.00,0,1.00,0,1.00,0,0,0,0
81.70,0,1.00,0,1.00,0,1.00,0,0,0,0
82.06,0,1.00,0,1.00,0,1.00,0,0,0,0
82.41,0,1.00,0,1.00,0,1.00,0,0,0,0
83.12,0,1.00,0,1.00,0,1.00,0,0,0,0
83.42,0,1.00,0,1.00,0,1.00,0,0,0,0
84.03,0,1.00,0,1.00,0,1.00,0,0,0,0
84.33,0,1.00,0,1.00,0,1.00,0,0,0,0
84.93,0,1.00,0,1.00,0,1.00,0,0,0,0
85.24,0,1.00,0,1.00,0,1.00,0,0,0,0
85.83,0,1.00,0,1.00,0,1.00,0,0,0,0
86.50,0,1.00,0,1.00,0,1.00,0,0,0,0
87.07,0,1.00,0,1.00,0,1.00,0,0,0,0
87.62,0,1.00,0,1.00,0,1.00,0,0,0,0
87.89,0,1.00,0,1.00,0,1.00,0,0,0,0
88.51,0,1.00,0,1.00,0,1.00,0,0,0,0
88.79,0,1.00,0,1.00,0,1.00,0,0,0,0
89.58,0,1.00,0,1.00,0,1.00,0,0,0,0
90.26,0,1.00,0,1.00,0,1.00,0,0,0,0
91.12,0,1.00,0,1.00,0,1.00,0,0,0,0
92.32,0,1.00,0,1.00,0,1.00,0,0,0,0
92.64,0,1.00,0,1.00,0,1.00,0,0,0,0
93.34,0,1.00,0,1.00,0,1.00,0,0,0,0
94.06,0,1.00,0,1.00,0,1.00,0,0,0,0
94.72,0,1.00,0,1.00,0,1.00,0,0,0,0
95.27,0,1.00,0,1.00,0,1.00,0,0,0,0
95.83,0,1.00,0,1.00,0,1.00,0,0,0,0
96.37,0,1.00,0,1.00,0,1.00,0,0,0,0
96.68,0,1.00,0,1.00,0,1.00,0,0,0,0
